,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
102,47634328,Show HN: DotReader – connects ideas across your books automatically,entertainment,5,2,efecerre,2026-04-05 15:47:56.474857,0.3333333333333333,False
103,47631011,PIGuard: Prompt Injection Guardrail via Mitigating Overdefense for Free,technology,15,5,mettamage,2026-04-05 15:47:58.734671,0.3125,False
104,47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-05 15:48:02.185120,0.753731343283582,True
105,47634240,OpenAI Cap Table leak reveals Microsoft's 18x return,technology,30,4,diehunde,2026-04-05 15:48:06.820106,0.12903225806451613,False
106,47639224,Intelligence Cannot Be Trained?,technology,7,7,hyperzzw,2026-04-05 15:48:10.410926,0.875,False
107,47633715,Kids groups say they didn't know OpenAI was behind their child safety coalition,technology,35,8,heavyset_go,2026-04-05 15:48:12.841703,0.2222222222222222,False
108,47633734,ENiGMA½ BBS Software,technology,10,1,NuSkooler,2026-04-05 15:48:15.125736,0.09090909090909091,False
109,47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,21,4,symisc_devel,2026-04-05 15:48:17.671378,0.18181818181818182,False
110,47633514,"Writing an LLM from scratch, part 32h – Interventions: full fat float32",technology,7,0,gpjt,2026-04-05 15:48:21.232935,0.0,False
111,47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 15:48:23.415564,0.3401360544217687,True
112,47632901,Sandbox Strategy Game for AI,technology,6,0,Stefan_Golas,2026-04-05 15:48:30.034784,0.0,False
113,47630582,Three main saturated fats raise your cholesterol,technology,47,14,brandonb,2026-04-05 15:48:35.802144,0.2916666666666667,False
114,47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,25,14,arttaboi,2026-04-05 15:48:40.953632,0.5384615384615384,False
115,47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-05 15:48:43.578662,0.14634146341463414,False
116,47587866,Microsoft: Copilot is for entertainment purposes only,technology,578,200,lpcvoid,2026-04-05 15:48:45.942413,0.3454231433506045,True
117,47643365,Should you upload blood test results to AI?,technology,5,1,bookofjoe,2026-04-05 15:48:49.718518,0.16666666666666666,False
118,47629505,Solana Drift Protocol drained of $285M via fake token and governance hijack,technology,75,32,anonhaven,2026-04-05 15:48:58.756664,0.42105263157894735,False
119,47605677,Signing data structures the wrong way,technology,120,52,malgorithms,2026-04-05 15:49:02.831023,0.4297520661157025,True
120,47637472,European Commission cloud breach: a supply-chain compromise,technology,16,0,Sandman,2026-04-05 15:49:05.287143,0.0,False
121,47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,88,45,coolwulf,2026-04-05 15:49:07.605572,0.5056179775280899,False
122,47610336,r/programming bans all discussion of LLM programming,technology,196,220,cryptoz,2026-04-05 15:49:11.219875,1.116751269035533,True
123,47597085,Claude Code Unpacked : A visual guide,technology,1110,403,autocracy101,2026-04-05 15:49:13.441331,0.3627362736273627,True
124,47637343,Iran Threatens to Bomb 1GW Stargate AI Datacenter in Abu Dhabi,technology,12,1,ZunarJ5,2026-04-05 15:49:17.168722,0.07692307692307693,False
125,47634095,Wikidata for Developers,technology,5,0,matthberg,2026-04-05 15:49:19.502948,0.0,False
126,47610534,"Vitalik Buterin – ""My self-sovereign / local / private / secure LLM setup""",technology,34,6,derrida,2026-04-05 15:49:26.142496,0.17142857142857143,False
127,47594804,Show HN: Claude Code rewritten as a bash script,technology,59,19,rpst,2026-04-05 15:49:31.195684,0.31666666666666665,False
128,47594936,GitHub has DMCA'd nearly all forks of the official Claude-code repo,technology,52,51,cg505,2026-04-05 15:49:40.207105,0.9622641509433962,False
129,47587597,Ask HN: Distributed data centers in our basements,technology,73,65,cmos,2026-04-05 15:49:42.530516,0.8783783783783784,False
130,47637083,Ask HN: Learning resources for building AI agents?,technology,7,6,7e10,2026-04-05 15:49:45.802207,0.75,False
131,47640048,Sam Altman's sister amends lawsuit accusing OpenAI CEO of sexual abuse,technology,27,22,therobots927,2026-04-05 15:49:49.533198,0.7857142857142857,False
132,47589370,Securing Elliptic Curve Cryptocurrencies Against Quantum Vulnerabilities [pdf],technology,54,32,jandrewrogers,2026-04-05 15:49:53.205803,0.5818181818181818,False
133,47632016,The danger of military AI isn't killer robots; it's worse human judgement,technology,22,5,speckx,2026-04-05 15:50:01.985454,0.21739130434782608,False
134,47631444,Show HN: Run Claude Code autonomously inside your Docker Compose stack (OSS),technology,8,0,sayil,2026-04-05 15:50:04.506397,0.0,False
135,47639016,Show HN: Hacker News RSS Feed Directory,entertainment,8,0,tamnd,2026-04-05 15:50:08.244607,0.0,False
136,47603131,Google Cloud: Investing in the Future of PostgreSQL,technology,33,8,kevincox,2026-04-05 15:50:18.607134,0.23529411764705882,False
137,47604245,Ukrainian drone holds position for 6 weeks,technology,171,194,AftHurrahWinch,2026-04-05 15:50:27.179604,1.127906976744186,True
138,47588324,Show HN: Sundial – a new way to look at a weather forecast,entertainment,65,26,izaidi,2026-04-05 15:50:31.066952,0.3939393939393939,False
139,47592626,Super Micro Computer Investors Look for Exits,technology,41,25,malindasp,2026-04-05 15:50:33.552116,0.5952380952380952,False
140,47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,technology,57,1,mirzap,2026-04-05 15:50:37.755564,0.017241379310344827,False
141,47609294,The Claude Code Leak,technology,199,180,mergesort,2026-04-05 15:50:43.248973,0.9,True
142,47588103,"On the trail of ancient art, deep in the Sahara",technology,29,3,bookofjoe,2026-04-05 15:50:45.847135,0.1,False
143,47640137,Byte-Pair Encoding,technology,9,0,tosh,2026-04-05 15:50:55.762501,0.0,False
144,47617852,Show HN: Adentris (YC P25) – Find mistakes in your medical records,entertainment,14,3,digitaltzar,2026-04-05 15:50:58.239775,0.2,False
145,47628083,Audit Claude Platform Activity with the Compliance API,technology,5,0,gmays,2026-04-05 15:51:00.842449,0.0,False
146,47602986,Show HN: Real-time dashboard for Claude Code agent teams,technology,76,29,simple10,2026-04-05 15:51:03.120121,0.37662337662337664,False
147,47627308,Claude Code Found a Linux Vulnerability Hidden for 23 Years,technology,9,2,mtlynch,2026-04-05 15:51:05.614880,0.2,False
148,47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 15:51:10.934188,0.17142857142857143,False
149,47604218,The AI Marketing BS Index,technology,107,21,speckx,2026-04-05 15:51:21.791467,0.19444444444444445,False
150,47611455,What Exoskeleton Technology Learned from One User,technology,13,0,rbanffy,2026-04-05 15:51:25.378928,0.0,False
151,47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,38,9,bigbobbeeper,2026-04-05 15:51:27.932072,0.23076923076923078,False
152,47632805,"Claude AI finds Vim, Emacs RCE bugs that trigger on file open",technology,12,1,akyuu,2026-04-05 15:51:34.178541,0.07692307692307693,False
153,47616665,Group Pushing Age Verification for AI Turns Out to Be Backed by OpenAI,technology,53,6,SilverElfin,2026-04-05 15:51:39.096352,0.1111111111111111,False
154,47622591,Jobs Being Created by AI,technology,5,1,Jimmc414,2026-04-05 15:51:42.678469,0.16666666666666666,False
155,47618123,Priced Out by AI: The Memory Chip Crisis Hitting Every Consumer,technology,6,0,dxs,2026-04-05 15:51:45.025994,0.0,False
156,47622496,"Run a Local LLM, and discover why LLMs are unpredictable",technology,8,0,mooreds,2026-04-05 15:51:47.387264,0.0,False
157,47617463,Users say Adobe Creative Cloud rewrote hosts file to detect installed app,technology,67,12,bobsoap,2026-04-05 15:51:52.196088,0.17647058823529413,False
158,47621937,Show HN: A Minimal Basic Inspired by Brainfuck,technology,9,0,ADavison2560,2026-04-05 15:51:54.559090,0.0,False
159,47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,70,26,jeditobe,2026-04-05 15:51:57.854657,0.36619718309859156,False
160,47624865,"OpenUMA – bring Apple-style unified memory to x86 AI inference (Rust, Linux)",technology,6,0,hamtun24,2026-04-05 15:52:01.583753,0.0,False
161,47638640,AI Whiz Kids Dropped Out of College and Got Investors to Pay Their Bills,technology,6,2,cebert,2026-04-05 15:52:03.877174,0.2857142857142857,False
162,47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,120,vrganj,2026-04-05 15:52:09.300972,1.3953488372093024,False
163,47599956,Show HN: Sycamore – next gen Rust web UI library using fine-grained reactivity,technology,95,74,lukechu10,2026-04-05 15:52:11.817984,0.7708333333333334,False
164,47635558,Netflix just dropped their first public model on Hugging Face: VOID,entertainment,15,1,rajtilakjee,2026-04-05 15:52:15.917087,0.0625,False
165,47604768,Comparing C/C++ unity build with regular build on a large codebase (2024),technology,12,5,PaulHoule,2026-04-05 15:52:18.424845,0.38461538461538464,False
166,47608155,"ZomboCom stolen by a hacker, sold, now replaced with AI-generated makeover",technology,76,37,bananaboy,2026-04-05 15:52:22.308048,0.4805194805194805,False
167,47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,24,9,bundie,2026-04-05 15:52:36.687679,0.36,False
168,47602277,Samsung's Blood Pressure Monitoring Feature Now Available,technology,11,3,brandonb,2026-04-05 15:52:39.017642,0.25,False
169,47645448,Budget cuts for US science proposed again by Trump administration,technology,7,0,bhouston,2026-04-05 15:52:43.853256,0.0,False
170,47623708,I used AI. It worked. I hated it,technology,14,4,signa11,2026-04-05 15:52:46.169618,0.26666666666666666,False
171,47619138,Vitalik Buterin: My self-sovereign/local/private/secure LLM setup,technology,7,0,aragonite,2026-04-05 15:52:48.617792,0.0,False
172,47609425,Show HN: We open-sourced our content writing workflow as a Claude Code skill,technology,18,8,arximughal,2026-04-05 15:52:51.291525,0.42105263157894735,False
173,47609372,"Show HN: Semantic atlas of 188 constitutions in 3D (30k articles, embeddings)",entertainment,12,4,joaoli131,2026-04-05 15:52:55.152103,0.3076923076923077,False
174,47630141,Quantum computer researchers: Bitcoin encryption breakable in a few years,technology,15,7,croes,2026-04-05 15:53:00.561184,0.4375,False
175,47608130,Montana referendum to outlaw corporate campaign contributions [video],technology,63,16,le-mark,2026-04-05 15:53:09.429952,0.25,False
176,47642779,Big Banks Seeking a Piece of SpaceX's IPO Must Subscribe to Elon Musk's Grok,science,11,0,codydh,2026-04-05 15:53:15.150648,0.0,False
177,47619322,A $20/month user costs OpenAI $65 in compute. AI video is a money furnace,technology,76,42,Aedelon,2026-04-05 15:53:17.608699,0.5454545454545454,False
178,47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,technology,25,5,topherPedersen,2026-04-05 15:53:20.065640,0.19230769230769232,False
179,47607211,Wikidata: WikiProject Ontology/Ontology Course,technology,10,2,taubek,2026-04-05 15:53:22.723864,0.18181818181818182,False
180,47592392,Show HN: EU Leadership – Live API data site comparing Europe to the world,technology,34,16,aureljohn,2026-04-05 15:53:27.946023,0.45714285714285713,False
181,47615058,Old code never dies: why legacy software is often safer than new code,technology,6,0,speckx,2026-04-05 15:53:30.475651,0.0,False
182,47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 15:53:34.180147,0.3076923076923077,False
183,47633226,Meta Pauses Work with Mercor After Data Breach Puts AI Industry Secrets at Risk,technology,11,1,srameshc,2026-04-05 15:53:39.654242,0.08333333333333333,False
184,47613668,Show HN: Abject: the first self-aware object runtime,worldnews,10,3,mempko,2026-04-05 15:53:42.310139,0.2727272727272727,False
185,47633150,The Subprime AI Crisis Is Here,technology,51,24,dmitrygr,2026-04-05 15:53:44.809082,0.46153846153846156,False
186,47637013,MIT study challenges AI job apocalypse narrative,technology,5,2,TMWNN,2026-04-05 15:53:47.508549,0.3333333333333333,False
187,47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 15:53:50.065296,1.0,False
188,47591834,Do LLMs Break the Sapir-Whorf Hypothesis?,technology,15,7,dot_treo,2026-04-05 15:53:57.090857,0.4375,False
189,47633517,Lightweight IDE to Pair with Claude Code?,technology,5,2,zupancik,2026-04-05 15:53:59.664432,0.3333333333333333,False
190,47618322,Mistral secures $830M in debt financing to fund AI data center,technology,33,3,gmays,2026-04-05 15:54:02.114108,0.08823529411764706,False
191,47608080,Show HN: 65k AI voters predict UK local elections with 75% accuracy,technology,9,9,JasonDuke,2026-04-05 15:54:13.106032,0.9,False
192,47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 15:54:17.037507,0.18085106382978725,False
193,47611572,Show HN: SideX – VS Code rebuilt on Tauri instead of Electron (96% smaller),technology,12,2,KendallCBooker,2026-04-05 15:54:19.764864,0.15384615384615385,False
194,47607159,"AbodeLLM – An offline AI assistant for Android devices, based on open models",technology,7,0,shaicoleman,2026-04-05 15:54:22.326844,0.0,False
195,47619319,Show HN: RiceVM – A Dis virtual machine and Limbo compiler in Rust,entertainment,6,0,habedi0,2026-04-05 15:54:32.283782,0.0,False
196,47639757,Hims and Hers warns of data breach after Zendesk support ticket breach,technology,8,0,Brajeshwar,2026-04-05 15:54:35.910096,0.0,False
197,47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",technology,44,4,smartmic,2026-04-05 15:54:38.346569,0.08888888888888889,False
198,47634073,CBP Facility Codes Sure Seem to Have Leaked via Online Flashcards,technology,12,1,couchand,2026-04-05 15:54:40.765204,0.07692307692307693,False
199,47624164,AI models will deceive you to save their own kind,technology,14,1,cmsefton,2026-04-05 15:54:43.270709,0.06666666666666667,False
200,47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,7,1,nikisweeting,2026-04-05 15:54:47.212726,0.125,False
201,47593620,1-Bit Bonsai: The First Commercially Viable 1-Bit LLMs,technology,9,1,wmf,2026-04-05 15:54:57.031989,0.1,False
202,47616185,Show HN: AI-first PostgreSQL client for Mac,technology,5,0,Guillim,2026-04-05 15:55:01.055255,0.0,False
203,47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],technology,36,1,latexr,2026-04-05 15:55:10.986265,0.02702702702702703,False
204,47590281,Claude Code leaked features and hidden commands,technology,11,1,ishqdehlvi,2026-04-05 15:55:17.009792,0.08333333333333333,False
205,47620867,Proton Workspace: An encrypted suite for team collaboration,sports,26,4,teekert,2026-04-05 15:55:23.970258,0.14814814814814814,False
206,47613181,Show HN: I run a full software company solo with Claude Code agents,technology,6,0,martinovigiani,2026-04-05 15:55:26.360723,0.0,False
